medicine_id,medicine_name,category,price,stock,expiry_date
M0001,Ibuprofen,Syrup,224.71,139,2024-07-08
M0002,Ibuprofen,Tablet,337.25,141,2025-08-26
M0003,Aspirin,Tablet,470.08,34,2025-10-01
M0004,Paracetamol,Tablet,373.78,39,2025-09-23
M0005,Ibuprofen,Syrup,361.63,52,2024-07-25
M0006,Aspirin,Capsule,257.65,64,2023-12-14
M0007,Paracetamol,Tablet,320.8,70,2026-05-14
M0008,Paracetamol,Capsule,387.85,163,2025-10-03
M0009,Amoxicillin,Injection,280.32,109,2024-12-01
M0010,Paracetamol,Tablet,46.87,176,2023-12-16
M0011,Amoxicillin,Tablet,418.95,149,2024-12-10
M0012,Amoxicillin,Injection,72.45,78,2025-06-20
M0013,Paracetamol,Capsule,112.94,63,2024-08-15
M0014,Paracetamol,Capsule,392.26,104,2023-10-05
M0015,Metformin,Syrup,463.62,60,2024-01-25
M0016,Amoxicillin,Syrup,441.89,6,2025-12-27
M0017,Aspirin,Capsule,393.37,105,2024-03-29
M0018,Aspirin,Syrup,140.73,179,2026-03-10
M0019,Cetirizine,Tablet,430.71,56,2025-12-06
M0020,Cetirizine,Capsule,159.54,58,2025-11-12
M0021,Paracetamol,Syrup,205.25,71,2024-01-25
M0022,Paracetamol,Capsule,182.06,130,2025-05-15
M0023,Aspirin,Capsule,470.23,29,2024-01-12
M0024,Ibuprofen,Syrup,294.49,67,2026-05-20
M0025,Paracetamol,Injection,179.39,80,2025-04-08
M0026,Metformin,Tablet,198.75,147,2025-12-16
M0027,Ibuprofen,Tablet,357.3,0,2025-01-12
M0028,Metformin,Syrup,188.47,17,2023-10-31
M0029,Aspirin,Capsule,315.35,169,2024-02-11
M0030,Paracetamol,Capsule,258.49,170,2025-05-06
M0031,Ibuprofen,Injection,351.63,141,2026-02-18
M0032,Amoxicillin,Injection,335.82,97,2024-08-04
M0033,Aspirin,Syrup,311.6,77,2025-05-09
M0034,Metformin,Tablet,158.9,53,2025-04-14
M0035,Metformin,Capsule,237.84,113,2024-08-06
M0036,Amoxicillin,Injection,398.93,188,2026-01-06
M0037,Aspirin,Tablet,149.06,169,2024-09-18
M0038,Metformin,Capsule,55.76,192,2025-10-31
M0039,Aspirin,Capsule,120.07,50,2026-01-29
M0040,Paracetamol,Tablet,129.97,121,2024-10-11
M0041,Paracetamol,Injection,213.08,161,2024-11-16
M0042,Amoxicillin,Injection,252.24,62,2026-01-28
M0043,Aspirin,Tablet,447.4,197,2024-01-04
M0044,Paracetamol,Injection,117.23,178,2025-01-14
M0045,Cetirizine,Tablet,283.13,31,2025-03-18
M0046,Amoxicillin,Injection,337.11,143,2024-10-27
M0047,Ibuprofen,Injection,310.2,184,2023-12-28
M0048,Metformin,Injection,416.98,140,2025-03-29
M0049,Amoxicillin,Injection,230.53,192,2025-10-18
M0050,Aspirin,Capsule,385.25,133,2025-02-17
M0051,Aspirin,Syrup,144.55,19,2024-06-28
M0052,Ibuprofen,Syrup,143.14,81,2023-12-27
M0053,Metformin,Tablet,77.8,59,2025-06-01
M0054,Aspirin,Syrup,356.15,16,2025-04-30
M0055,Cetirizine,Capsule,275.88,106,2026-04-26
M0056,Amoxicillin,Injection,200.84,197,2024-11-07
M0057,Aspirin,Tablet,429.8,195,2024-11-16
M0058,Cetirizine,Injection,12.89,90,2025-08-27
M0059,Cetirizine,Injection,273.73,188,2024-12-16
M0060,Metformin,Syrup,249.23,69,2025-04-08
M0061,Cetirizine,Tablet,200.54,171,2024-08-02
M0062,Cetirizine,Syrup,421.85,32,2024-09-29
M0063,Metformin,Tablet,454.4,151,2024-11-28
M0064,Aspirin,Tablet,51.13,109,2026-02-10
M0065,Cetirizine,Syrup,34.64,97,2025-07-28
M0066,Amoxicillin,Injection,170.15,194,2024-01-10
M0067,Cetirizine,Capsule,378.48,107,2025-10-13
M0068,Paracetamol,Injection,19.5,138,2026-05-06
M0069,Ibuprofen,Syrup,328.57,199,2023-10-22
M0070,Aspirin,Tablet,379.57,63,2025-12-06
M0071,Paracetamol,Syrup,126.89,121,2024-08-12
M0072,Paracetamol,Syrup,237.87,65,2024-05-04
M0073,Ibuprofen,Syrup,306.89,191,2024-06-23
M0074,Paracetamol,Syrup,482.71,27,2024-11-13
M0075,Paracetamol,Capsule,292.14,96,2025-05-18
M0076,Aspirin,Syrup,47.24,176,2024-02-29
M0077,Aspirin,Syrup,59.93,197,2025-08-24
M0078,Aspirin,Tablet,400.15,144,2024-04-18
M0079,Paracetamol,Capsule,271.05,169,2025-06-14
M0080,Paracetamol,Capsule,16.2,107,2024-03-08
M0081,Cetirizine,Tablet,222.43,92,2024-09-16
M0082,Cetirizine,Syrup,223.39,187,2025-01-10
M0083,Aspirin,Capsule,311.8,137,2024-04-26
M0084,Cetirizine,Injection,223.43,187,2024-10-30
M0085,Ibuprofen,Capsule,427.34,22,2025-09-16
M0086,Cetirizine,Syrup,377.73,145,2024-10-12
M0087,Aspirin,Injection,174.83,126,2024-02-08
M0088,Ibuprofen,Syrup,248.9,90,2024-04-03
M0089,Ibuprofen,Capsule,147.03,152,2024-07-10
M0090,Ibuprofen,Tablet,263.15,48,2026-04-02
M0091,Amoxicillin,Injection,249.4,194,2025-10-25
M0092,Aspirin,Injection,326.49,125,2025-03-27
M0093,Paracetamol,Tablet,154.18,103,2024-07-20
M0094,Amoxicillin,Capsule,335.34,94,2025-03-01
M0095,Metformin,Capsule,218.5,190,2024-12-12
M0096,Ibuprofen,Capsule,354.4,69,2025-08-19
M0097,Ibuprofen,Syrup,69.12,49,2025-08-09
M0098,Paracetamol,Syrup,103.86,189,2025-02-18
M0099,Ibuprofen,Capsule,490.45,49,2025-08-29
M0100,Amoxicillin,Capsule,97.93,3,2024-07-03
